id,host_id,host_since,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_value,latitude,longitude
54271157,6406029,2013-05-15,False,1,True,Bos en Lommer,Entire condo,Entire home/apt,2.0,2.0,200.0,3,365,5,2022-04-14,2022-05-12,5.0,4.4,52.379,4.849
54295276,15218986,2014-05-07,True,2,True,Noord-Oost,Entire rental unit,Entire home/apt,1.0,1.0,62.0,2,365,3,2022-01-19,2022-02-13,5.0,5.0,52.4009,4.935
54328953,338262321,2020-02-23,False,1,True,De Pijp - Rivierenbuurt,Private room,Private room,2.0,3.0,213.0,1,365,31,2022-02-13,2022-06-05,4.71,4.32,52.351,4.896
54361387,1464510,2011-12-02,False,8,True,Westerpark,Entire rental unit,Entire home/apt,1.0,1.0,277.0,3,9,2,2022-03-15,2022-03-22,4.0,4.0,52.386,4.874
54362481,372878845,2020-10-22,False,7,True,De Pijp - Rivierenbuurt,Shared room in hostel,Shared room,1.0,2.0,60.0,1,14,1,2022-04-13,2022-04-13,4.0,5.0,52.351,4.896
54362648,372878845,2020-10-22,False,7,True,De Pijp - Rivierenbuurt,Private room in hostel,Private room,1.0,1.0,191.0,1,14,1,2022-05-12,2022-05-12,5.0,5.0,52.351,4.896
54362723,372878845,2020-10-22,False,7,True,De Pijp - Rivierenbuurt,Private room in hostel,Private room,1.0,1.0,191.0,1,14,1,2022-04-26,2022-04-26,5.0,5.0,52.351,4.896
11133618,419670030,2021-08-22,False,1,True,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,1.0,1.0,101.0,1,3,13,2021-10-03,2022-05-23,4.54,4.15,52.345,4.805
43364131,48492755,2015-11-08,False,2,True,Geuzenveld - Slotermeer,Entire chalet,Entire home/apt,2.0,3.0,121.0,3,100,17,2020-07-17,2022-05-29,4.24,4.18,52.377,4.828
35803585,32468995,2015-05-03,False,2,True,Watergraafsmeer,Entire home,Entire home/apt,3.0,6.0,350.0,1,1125,48,2019-06-25,2021-08-29,4.63,4.46,52.349,4.941
49493100,398265371,2021-04-23,False,4,True,Buitenveldert - Zuidas,Room in boutique hotel,Private room,1.0,1.0,167.0,1,360,35,2021-05-03,2022-05-26,4.37,4.69,52.333,4.873
29979667,174174070,2018-02-19,False,6,True,De Aker - Nieuw Sloten,Room in aparthotel,Private room,2.0,4.0,299.0,1,1125,6,2019-07-12,2022-04-18,4.33,4.5,52.345,4.805
35345411,5824106,2013-04-08,False,1,True,Buitenveldert - Zuidas,Entire home,Entire home/apt,2.0,3.0,225.0,2,7,18,2019-07-02,2022-05-29,5.0,4.89,52.333,4.873
52998236,150438407,2017-09-13,False,33,True,Noord-Oost,Entire home,Entire home/apt,4.0,7.0,15.0,1,28,3,2022-04-11,2022-04-22,4.0,4.33,52.4009,4.935
35284613,145684769,2017-08-12,False,1,True,Noord-Oost,Entire villa,Entire home/apt,3.0,3.0,220.0,7,14,2,2019-08-03,2020-07-14,5.0,4.5,52.4009,4.935
28250151,18099340,2014-07-14,False,1,True,Bijlmer-Centrum,Entire home,Entire home/apt,5.0,4.0,300.0,5,1125,20,2019-02-23,2021-05-07,4.9,4.85,52.312,4.947
30230156,227023637,2018-11-22,False,1,True,Buitenveldert - Zuidas,Entire rental unit,Entire home/apt,3.0,2.0,294.0,6,31,3,2019-02-24,2022-04-20,5.0,4.5,52.333,4.873
50862424,407472735,2021-06-16,True,1,True,Buitenveldert - Zuidas,Room in aparthotel,Entire home/apt,,1.0,139.0,1,1125,50,2021-07-15,2022-06-01,4.84,4.68,52.333,4.873
10311085,34528706,2015-05-29,False,1,True,Bijlmer-Centrum,Entire home,Entire home/apt,2.0,3.0,145.0,3,20,6,2019-04-24,2020-07-25,5.0,4.67,52.312,4.947
40906668,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Room in hotel,Private room,1.0,1.0,210.0,1,1125,3,2020-08-22,2021-10-17,3.0,3.33,52.345,4.805
40905997,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Room in hotel,Private room,1.0,1.0,226.0,1,1125,6,2020-02-16,2021-06-04,4.83,5.0,52.345,4.805
33092917,212230814,2018-08-28,False,5,True,Buitenveldert - Zuidas,Entire serviced apartment,Entire home/apt,1.0,2.0,290.0,1,365,66,2019-04-07,2022-05-21,4.62,4.32,52.333,4.873
41789299,330172196,2020-01-23,True,1,True,Watergraafsmeer,Entire guesthouse,Entire home/apt,1.0,1.0,90.0,2,31,80,2020-08-06,2022-06-01,4.94,4.8,52.349,4.941
36291998,10908127,2013-12-30,False,3,True,Geuzenveld - Slotermeer,Entire chalet,Entire home/apt,2.0,4.0,109.0,10,364,4,2019-07-23,2019-10-25,4.75,5.0,52.377,4.828
35377658,28292058,2015-02-24,False,2,True,Osdorp,Entire home,Entire home/apt,4.0,6.0,204.0,2,1125,83,2019-08-04,2022-06-04,4.7,4.51,52.355,4.798
44174765,114132046,2017-01-31,True,1,True,Watergraafsmeer,Private room in townhouse,Private room,1.0,1.0,47.0,14,365,5,2022-03-31,2022-05-28,5.0,5.0,52.349,4.941
49493264,398265371,2021-04-23,False,4,True,Buitenveldert - Zuidas,Room in boutique hotel,Private room,1.0,1.0,155.0,1,360,31,2021-05-12,2022-05-14,4.65,4.52,52.333,4.873
36438581,48492755,2015-11-08,False,2,True,Geuzenveld - Slotermeer,Entire chalet,Entire home/apt,2.0,3.0,120.0,3,1125,9,2019-07-07,2020-03-12,4.4,4.6,52.377,4.828
50824952,21550747,2014-09-20,False,2,True,Bijlmer-Centrum,Entire condo,Entire home/apt,2.0,2.0,200.0,1,365,3,2021-08-06,2021-08-26,3.67,3.67,52.312,4.947
43485252,28292058,2015-02-24,False,2,True,Osdorp,Entire guest suite,Entire home/apt,1.0,1.0,99.0,2,1125,3,2022-04-18,2022-04-25,5.0,4.33,52.355,4.798
41284714,144593639,2017-08-06,True,3,True,Bijlmer-Centrum,Entire serviced apartment,Entire home/apt,2.0,2.0,175.0,2,30,10,2021-01-31,2022-05-27,5.0,5.0,52.312,4.947
37902745,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,1.0,1.0,207.0,1,1125,15,2020-01-01,2022-04-24,4.53,4.53,52.345,4.805
33521588,73609793,2016-05-23,False,4,True,De Aker - Nieuw Sloten,Entire home,Entire home/apt,3.0,4.0,249.0,4,24,12,2019-06-16,2022-05-30,4.92,4.5,52.345,4.805
49680833,63762821,2016-03-20,False,1,True,Bijlmer-Centrum,Entire rental unit,Entire home/apt,1.0,1.0,145.0,2,60,13,2021-07-09,2022-06-01,4.85,4.77,52.312,4.947
29979592,174174070,2018-02-19,False,6,True,De Aker - Nieuw Sloten,Room in aparthotel,Private room,1.0,2.0,206.0,1,1125,15,2019-03-23,2022-01-02,4.07,4.2,52.345,4.805
29553447,9899986,2013-11-09,False,1,True,Buitenveldert - Zuidas,Entire rental unit,Entire home/apt,1.0,1.0,143.0,4,1125,60,2019-02-07,2022-05-23,4.93,4.75,52.333,4.873
43475436,144593639,2017-08-06,True,3,True,Bijlmer-Centrum,Entire serviced apartment,Entire home/apt,2.0,2.0,175.0,3,31,10,2020-07-29,2022-04-27,4.7,4.6,52.312,4.947
50957764,913437,2011-08-03,False,2,True,Noord-Oost,Farm stay,Entire home/apt,1.0,1.0,150.0,3,4,4,2021-08-04,2022-05-28,5.0,4.75,52.4009,4.935
37894407,261757289,2019-05-14,False,11,True,De Aker - Nieuw Sloten,Entire rental unit,Entire home/apt,1.0,1.0,206.0,1,1125,3,2019-12-29,2021-11-30,3.33,3.33,52.345,4.805
38251744,4926033,2013-02-01,True,1,True,Noord-West,Entire guesthouse,Entire home/apt,1.0,2.0,79.0,2,1125,32,2019-09-02,2022-05-29,4.48,4.39,52.41,4.895
